query,nbtp,count,countime,var,dv,df,timedv,timedf
SPO_o,1,10916457,0.102273941040039,o,1005832,641,19.308260202407837,8.542079210281372
SPO_s,1,10916457,0.102273941040039,s,521585,308,53.306931257247925,8.17133378982544
c6_role0_o,2,5264096,4.892959833145142,o,402344,222,10.00674819946289,5.273448944091797
c6_role1_o,2,2720778,2.801506996154785,o,204871,164,7.342006206512451,14.810630083084106
c6_role2_o,2,1851807,2.2888031005859375,o,176446,135,5.229027032852173,3.211437225341797
c6_role0_s,2,5264096,4.892959833145142,s,58629,305,14.020461082458496,1.7521908283233645
query_7547_v9,10,886001,23.44871211051941,v9,36539,24,29.603381872177124,34.18242287635803
query_3841_v9,10,886001,22.72479820251465,v9,36539,24,31.841295957565308,33.079206228256226
query_4564_v9,10,886001,24.78196907043457,v9,36539,24,30.393105030059814,36.226576805114746
c6_role1_s,2,2720778,2.801506996154785,s,31173,295,4.663392066955566,3.4534149169921875
query_10810_v0,5,28378,1.4967679977416992,v0,28378,1,0.8708868026733398,1.3550868034362793
query_10962_v0,5,28378,1.490234136581421,v0,28378,1,3.028563976287842,1.6367008686065674
query_7351_v0,5,28378,1.6233830451965332,v0,28378,1,1.5615289211273191,1.8186240196228027
query_12087_v0,5,28378,4.014686107635498,v0,28378,1,3.6729276180267334,1.1211867332458496
query_12128_v0,5,28378,1.2339839935302734,v0,28378,1,2.157729148864746,1.3774800300598145
query_3919_v9,10,205025,12.470683813095093,v9,20261,13,11.212767124176024,2.6777729988098145
query_2023_v9,10,205025,6.449107885360718,v9,20261,13,16.148982048034668,8.982348680496216
query_4711_v2,8,717012,6.154184103012085,v2,14955,207,2.3726348876953125,2.5652008056640625
query_8183_v2,8,717012,3.2710399627685547,v2,14955,207,1.9199891090393064,3.9208669662475586
query_5437_v6,7,680850,1.5671348571777344,v6,11706,5,0.4603917598724365,1.929980993270874
query_3822_v6,7,747782,1.542320728302002,v6,10582,6,0.6111240386962891,3.52306604385376
query_3713_v2,9,1380017,33.3829083442688,v2,8948,468,37.30948495864868,40.07827877998352
query_3670_v2,9,1380017,36.09978008270264,v2,8948,468,47.07115125656128,37.867894887924194
query_3713_v5,9,1380017,33.3829083442688,v5,8948,468,44.5167670249939,37.3235719203949
query_3670_v5,9,1380017,36.09978008270264,v5,8948,468,45.46399784088135,37.23023414611816
query_5968_v2,12,809828,8.994170665740967,v2,8231,35,9.220043182373049,7.906070947647095
query_9351_v2,12,809828,9.703738927841188,v2,8231,35,8.12113904953003,12.23436689376831
query_517_v2,12,809828,8.782258749008179,v2,8231,35,3.019232988357544,1.3551139831542969
query_9996_v2,12,809828,10.677895307540894,v2,8231,35,9.218324184417725,3.892141103744507
query_8423_v2,12,809828,8.042818069458008,v2,8231,35,11.556750774383543,11.932452917099
query_8341_v2,4,5928710,29.529417991638184,v2,7958,1,15.077107906341553,28.29579186439514
query_3965_v2,4,5928710,34.139058113098145,v2,7958,1,28.419699907302856,23.094542980194092
query_3670_v3,9,1380017,36.09978008270264,v3,7488,644,38.826844215393066,34.18546414375305
query_11914_v2,4,4260060,13.04595398902893,v2,6860,1,14.936506271362305,17.15139412879944
query_6926_v2,4,4260060,16.382247924804688,v2,6860,1,25.333741903305057,8.953359842300415
query_2740_v2,4,4260060,14.876082181930542,v2,6860,1,15.61569118499756,17.54603910446167
query_6731_v0,6,4265,0.5606968402862549,v0,4265,1,0.3816258907318115,0.7580780982971191
query_4046_v4,8,2663222,50.88188195228577,v4,4205,25,34.10838007926941,44.1014199256897
query_12015_v4,8,2663222,44.958067893981934,v4,4205,25,21.362250089645386,10.347270965576172
query_2416_v4,8,2663222,48.24907088279724,v4,4205,25,40.830734968185425,34.25220513343811
query_6731_v6,6,4265,0.5606968402862549,v6,3280,5,0.3496439456939697,0.5978617668151855
query_6731_v1,6,4265,0.5606968402862549,v1,3280,5,0.3133878707885742,1.075038194656372
query_11285_v0,6,2732,0.4474380016326904,v0,2732,1,0.2419559955596923,0.3555939197540283
query_8683_v0,6,2732,0.3949859142303467,v0,2732,1,0.3148739337921142,0.5577123165130615
query_4957_v0,3,36665,0.305347204208374,v0,1583,50,0.0672180652618408,0.33986496925354
query_3872_v0,3,36665,0.5134761333465576,v0,1583,50,0.4387738704681396,0.5460662841796875
query_4392_v0,3,36665,0.3355650901794433,v0,1583,50,0.0982999801635742,0.100489854812622
query_7029_v0,3,36665,0.4988508224487304,v0,1583,50,0.9129693508148192,0.7267262935638428
query_10892_v0,3,36665,0.1596989631652832,v0,1583,50,0.129098892211914,0.0923619270324707
query_11284_v6,11,4817,0.7991740703582764,v6,779,15,1.2706527709960938,1.503303050994873
query_6102_v6,11,4817,1.5238149166107178,v6,779,15,1.2639901638031006,1.6269850730895996
query_8831_v6,11,3266,0.8880660533905029,v6,771,13,0.9755208492279052,0.592339038848877
query_1710_v6,11,3266,1.0499041080474854,v6,771,13,0.3740730285644531,0.5736181735992432
query_4042_v6,11,3266,1.249241828918457,v6,771,13,0.8435649871826172,0.935082197189331
query_4207_v7,7,158050,0.3251807689666748,v7,309,5,0.2071349620819091,0.1708810329437255
query_6934_v7,7,157968,0.4346320629119873,v7,302,3,0.0651566982269287,0.494769811630249
query_11405_v7,7,38446,0.1855149269104004,v7,156,5,0.0577170848846435,0.1731271743774414
SPO_p,1,10916457,0.102273941040039,p,86,74,21.14678001403809,6.541024923324585
